date,ride_count_outflow,arima_pred,sarimax_pred,rf_pred,xgb_pred,prophet_pred
2022-10-02,244,316.3586,371.7518,392.9434,355.2272,346.6534
2022-10-03,214,448.7358,383.8424,408.2167,429.7439,380.668
2022-10-04,267,382.4279,326.9529,330.6977,325.6696,349.6227
2022-10-05,325,336.1683,339.3395,325.0739,344.3859,365.2783
2022-10-06,528,568.659,492.585,449.5769,435.8824,484.4637
2022-10-07,487,474.8979,479.7655,444.7831,438.0267,472.8659
2022-10-08,380,456.0106,400.9341,437.3335,461.3096,402.5921
2022-10-09,367,485.9232,415.9099,415.3732,442.4074,396.6706
2022-10-10,498,523.4516,432.7322,435.5844,469.3663,393.0912
2022-10-11,523,585.9696,471.9238,458.1543,529.8267,450.8531
2022-10-12,523,507.4732,448.0649,468.8294,536.0395,444.2352
2022-10-13,334,465.2762,409.2145,382.9592,359.4876,383.9281
2022-10-14,462,300.8931,377.6413,424.9876,435.3696,407.3749
2022-10-15,472,411.3083,443.5482,421.9048,431.3543,414.7501
